date,year,month,hour,season,weekday,is_holiday,working_day,weather_sit,is_covid,temp,wind,humidity,total_count
2018-01-01,2018,1,0,1,0,1,0,1.0,0,-2.456452646895212,-0.08897457254025733,-0.5939364636781994,34.0
2018-01-01,2018,1,1,1,0,1,0,1.0,0,-2.456452646895212,-0.08897457254025733,-0.3815447058478432,49.0
2018-01-01,2018,1,2,1,0,1,0,1.0,0,-2.456452646895212,0.40574520087104915,-0.3815447058478432,37.0
2018-01-01,2018,1,3,1,0,1,0,1.0,0,-2.5600188034042786,-0.5836943459515638,-0.11605500855989793,9.0
2018-01-01,2018,1,4,1,0,1,0,1.0,0,-2.5600188034042786,0.40574520087104915,-0.11605500855989793,12.0
2018-01-01,2018,1,5,1,0,1,0,1.0,0,-2.663584959913345,-0.3363344592459106,0.14943468872804733,8.0
2018-01-01,2018,1,6,1,0,1,0,1.0,0,-2.456452646895212,-0.3363344592459106,-0.3815447058478432,9.0
2018-01-01,2018,1,7,1,0,1,0,1.0,0,-2.456452646895212,-0.3363344592459106,-0.3815447058478432,11.0
2018-01-01,2018,1,8,1,0,1,0,1.0,0,-2.352886490386146,0.15838531416539592,-0.5939364636781994,19.0
2018-01-01,2018,1,9,1,0,1,0,1.0,0,-2.2493203338770797,0.6531050875767024,-0.8063282215085557,31.0
2018-01-01,2018,1,10,1,0,1,0,3.0,0,-2.1457541773680133,0.776785030929529,-1.1780137977116791,61.0
2018-01-01,2018,1,11,1,0,1,0,2.0,0,-2.0421880208589474,1.0241449176351822,-1.3373076160844461,97.0
2018-01-01,2018,1,12,1,0,1,0,2.0,0,-1.938621864349881,1.0241449176351822,-1.4966014344572134,104.0
2018-01-01,2018,1,13,1,0,1,0,2.0,0,-2.0421880208589474,0.776785030929529,-1.3373076160844461,116.0
2018-01-01,2018,1,14,1,0,1,0,2.0,0,-2.0421880208589474,1.2715048043408355,-1.3373076160844461,113.0
2018-01-01,2018,1,15,1,0,1,0,3.0,0,-2.0421880208589474,1.2715048043408355,-1.4966014344572134,124.0
2018-01-01,2018,1,16,1,0,1,0,1.0,0,-2.1457541773680133,0.40574520087104915,-1.3904055555420354,88.0
2018-01-01,2018,1,17,1,0,1,0,1.0,0,-2.1457541773680133,0.40574520087104915,-1.3904055555420354,87.0
2018-01-01,2018,1,18,1,0,1,0,1.0,0,-2.1457541773680133,1.5188646910464887,-1.3904055555420354,51.0
2018-01-01,2018,1,19,1,0,1,0,1.0,0,-2.2493203338770797,2.1372644078106218,-1.3904055555420354,56.0
2018-01-01,2018,1,20,1,0,1,0,1.0,0,-2.352886490386146,1.766224577752142,-1.2311117371692681,41.0
2018-01-01,2018,1,21,1,0,1,0,3.0,0,-2.352886490386146,2.1372644078106218,-1.018719979338912,27.0
2018-01-01,2018,1,22,1,0,1,0,1.0,0,-2.456452646895212,1.0241449176351822,-1.018719979338912,20.0
2018-01-01,2018,1,23,1,0,1,0,1.0,0,-2.456452646895212,-0.5836943459515638,-1.2311117371692681,9.0
2018-01-02,2018,1,0,1,1,0,1,1.0,0,-2.5600188034042786,-0.3363344592459106,-0.8594261609661448,3.0
2018-01-02,2018,1,1,1,1,0,1,1.0,0,-2.5600188034042786,-0.3363344592459106,-0.8594261609661448,6.0
2018-01-02,2018,1,2,1,1,0,1,1.0,0,-2.5600188034042786,-0.3363344592459106,-0.8594261609661448,4.0
2018-01-02,2018,1,3,1,1,0,1,1.0,0,-2.5600188034042786,0.15838531416539592,-0.8594261609661448,4.0
2018-01-02,2018,1,4,1,1,0,1,1.0,0,-2.5600188034042786,-0.08897457254025733,-0.8594261609661448,10.0
2018-01-02,2018,1,5,1,1,0,1,1.0,0,-2.663584959913345,-0.5836943459515638,-0.6470344031357885,43.0
2018-01-02,2018,1,6,1,1,0,1,1.0,0,-2.663584959913345,-0.08897457254025733,-0.6470344031357885,135.0
2018-01-02,2018,1,7,1,1,0,1,1.0,0,-2.663584959913345,0.6531050875767024,-0.6470344031357885,284.0
2018-01-02,2018,1,8,1,1,0,1,1.0,0,-2.456452646895212,0.6531050875767024,-1.018719979338912,501.0
2018-01-02,2018,1,9,1,1,0,1,1.0,0,-2.352886490386146,0.776785030929529,-1.2311117371692681,257.0
2018-01-02,2018,1,10,1,1,0,1,1.0,0,-2.2493203338770797,1.0241449176351822,-1.3904055555420354,108.0
2018-01-02,2018,1,11,1,1,0,1,1.0,0,-2.1457541773680133,-0.3363344592459106,-1.5496993739148024,124.0
2018-01-02,2018,1,12,1,1,0,1,1.0,0,-2.1457541773680133,-0.3363344592459106,-1.5496993739148024,158.0
2018-01-02,2018,1,13,1,1,0,1,1.0,0,-1.938621864349881,0.6531050875767024,-1.8151890712027476,157.0
2018-01-02,2018,1,14,1,1,0,1,1.0,0,-1.8350557078408147,0.15838531416539592,-1.9213849501179259,140.0
2018-01-02,2018,1,15,1,1,0,1,1.0,0,-1.8350557078408147,-0.08897457254025733,-1.9213849501179259,209.0
2018-01-02,2018,1,16,1,1,0,1,1.0,0,-1.938621864349881,-0.08897457254025733,-1.6558952528299806,344.0
2018-01-02,2018,1,17,1,1,0,1,1.0,0,-1.938621864349881,-0.831054232657217,-1.6558952528299806,493.0
2018-01-02,2018,1,18,1,1,0,1,1.0,0,-2.1457541773680133,-0.08897457254025733,-1.1780137977116791,371.0
2018-01-02,2018,1,19,1,1,0,1,1.0,0,-2.1457541773680133,-0.5836943459515638,-1.1780137977116791,212.0
2018-01-02,2018,1,20,1,1,0,1,1.0,0,-2.1457541773680133,-0.5836943459515638,-0.8063282215085557,100.0
2018-01-02,2018,1,21,1,1,0,1,1.0,0,-2.1457541773680133,-0.9547341760100437,-0.5408385242206104,70.0
2018-01-02,2018,1,22,1,1,0,1,1.0,0,-2.2493203338770797,-0.831054232657217,-0.32844676639025416,43.0
2018-01-02,2018,1,23,1,1,0,1,1.0,0,-2.1457541773680133,-0.9547341760100437,-0.8063282215085557,16.0
2018-01-03,2018,1,0,1,2,0,1,1.0,0,-2.2493203338770797,-1.6968138361270033,-0.32844676639025416,9.0
2018-01-03,2018,1,1,1,2,0,1,1.0,0,-2.2493203338770797,-1.6968138361270033,-0.06295706910230889,2.0
2018-01-03,2018,1,2,1,2,0,1,1.0,0,-2.352886490386146,-0.9547341760100437,0.2025326281856364,3.0
2018-01-03,2018,1,3,1,2,0,1,1.0,0,-2.456452646895212,-1.6968138361270033,0.4680223254735817,5.0
2018-01-03,2018,1,4,1,2,0,1,1.0,0,-2.5600188034042786,-0.9547341760100437,0.4680223254735817,12.0
2018-01-03,2018,1,5,1,2,0,1,1.0,0,-2.456452646895212,-1.6968138361270033,0.4680223254735817,47.0
2018-01-03,2018,1,6,1,2,0,1,1.0,0,-2.456452646895212,-1.6968138361270033,0.786609962219116,145.0
2018-01-03,2018,1,7,1,2,0,1,1.0,0,-2.352886490386146,-1.6968138361270033,0.786609962219116,342.0
2018-01-03,2018,1,8,1,2,0,1,1.0,0,-2.2493203338770797,-0.9547341760100437,0.4680223254735817,626.0
2018-01-03,2018,1,9,1,2,0,1,1.0,0,-2.1457541773680133,-0.9547341760100437,0.2025326281856364,322.0
2018-01-03,2018,1,10,1,2,0,1,1.0,0,-1.938621864349881,-0.831054232657217,-0.7532302820509666,152.0
2018-01-03,2018,1,11,1,2,0,1,2.0,0,-1.7314895513317485,-1.6968138361270033,-1.12491585825409,144.0
2018-01-03,2018,1,12,1,2,0,1,2.0,0,-1.5243572383136157,-0.9547341760100437,-1.6027973133723914,189.0
2018-01-03,2018,1,13,1,2,0,1,1.0,0,-1.5243572383136157,-0.9547341760100437,-1.6027973133723914,177.0
2018-01-03,2018,1,14,1,2,0,1,1.0,0,-1.3172249252954833,-0.08897457254025733,-1.8151890712027476,162.0
2018-01-03,2018,1,15,1,2,0,1,2.0,0,-1.4207910818045495,-0.5836943459515638,-1.9744828895755149,261.0
2018-01-03,2018,1,16,1,2,0,1,1.0,0,-1.4207910818045495,-1.6968138361270033,-2.080678768490693,368.0
2018-01-03,2018,1,17,1,2,0,1,2.0,0,-1.5243572383136157,-0.08897457254025733,-1.6027973133723914,669.0
2018-01-03,2018,1,18,1,2,0,1,2.0,0,-1.6279233948226821,-0.831054232657217,-0.9125241004237338,521.0
2018-01-03,2018,1,19,1,2,0,1,2.0,0,-1.6279233948226821,-0.9547341760100437,-0.9125241004237338,256.0
2018-01-03,2018,1,20,1,2,0,1,2.0,0,-1.6279233948226821,0.15838531416539592,-0.9125241004237338,142.0
2018-01-03,2018,1,21,1,2,0,1,2.0,0,-1.6279233948226821,-0.3363344592459106,-0.7001323425933775,100.0
2018-01-03,2018,1,22,1,2,0,1,2.0,0,-1.6279233948226821,-0.08897457254025733,-0.2753488269326651,67.0
2018-01-03,2018,1,23,1,2,0,1,2.0,0,-1.8350557078408147,0.40574520087104915,1.1582955384222393,27.0
2018-01-04,2018,1,0,1,3,0,1,1.0,0,-1.8350557078408147,0.6531050875767024,1.1582955384222393,9.0
2018-01-04,2018,1,1,1,3,0,1,1.0,0,-1.8350557078408147,1.0241449176351822,1.1582955384222393,6.0
2018-01-04,2018,1,3,1,3,0,1,2.0,0,-1.938621864349881,2.013584464457795,0.8397079016767051,3.0
2018-01-04,2018,1,4,1,3,0,1,2.0,0,-1.938621864349881,2.1372644078106218,0.8397079016767051,7.0
2018-01-04,2018,1,5,1,3,0,1,2.0,0,-1.938621864349881,2.8793440679275815,0.8397079016767051,22.0
2018-01-04,2018,1,6,1,3,0,1,1.0,0,-1.938621864349881,3.1267039546332347,0.5211202649311707,46.0
2018-01-04,2018,1,7,1,3,0,1,2.0,0,-1.938621864349881,2.1372644078106218,0.5211202649311707,87.0
2018-01-04,2018,1,8,1,3,0,1,1.0,0,-1.938621864349881,3.621423728044541,-0.06295706910230889,206.0
2018-01-04,2018,1,9,1,3,0,1,2.0,0,-1.938621864349881,2.8793440679275815,-0.2753488269326651,185.0
2018-01-04,2018,1,10,1,3,0,1,2.0,0,-1.938621864349881,2.1372644078106218,0.25563056764322545,158.0
2018-01-04,2018,1,11,1,3,0,1,2.0,0,-1.938621864349881,2.384624294516275,0.25563056764322545,107.0
2018-01-04,2018,1,12,1,3,0,1,2.0,0,-1.8350557078408147,3.7451036713973678,-0.5408385242206104,91.0
2018-01-04,2018,1,13,1,3,0,1,2.0,0,-1.8350557078408147,2.6319841812219282,-0.7532302820509666,88.0
2018-01-04,2018,1,14,1,3,0,1,2.0,0,-1.8350557078408147,2.384624294516275,-0.9656220398813228,95.0
2018-01-04,2018,1,15,1,3,0,1,2.0,0,-1.8350557078408147,1.766224577752142,-1.12491585825409,109.0
2018-01-04,2018,1,16,1,3,0,1,1.0,0,-1.938621864349881,2.6319841812219282,-1.1780137977116791,187.0
2018-01-04,2018,1,17,1,3,0,1,1.0,0,-2.0421880208589474,2.6319841812219282,-1.1780137977116791,345.0
2018-01-04,2018,1,18,1,3,0,1,1.0,0,-2.1457541773680133,1.2715048043408355,-1.018719979338912,280.0
2018-01-04,2018,1,19,1,3,0,1,1.0,0,-2.2493203338770797,3.621423728044541,-1.018719979338912,161.0
2018-01-04,2018,1,20,1,3,0,1,1.0,0,-2.2493203338770797,2.8793440679275815,-1.1780137977116791,68.0
2018-01-04,2018,1,21,1,3,0,1,1.0,0,-2.352886490386146,1.2715048043408355,-1.018719979338912,55.0
2018-01-04,2018,1,22,1,3,0,1,1.0,0,-2.456452646895212,0.15838531416539592,-1.018719979338912,31.0
2018-01-04,2018,1,23,1,3,0,1,1.0,0,-2.456452646895212,1.5188646910464887,-1.018719979338912,22.0
2018-01-05,2018,1,0,1,4,0,1,1.0,0,-2.456452646895212,2.013584464457795,-1.2311117371692681,9.0
2018-01-05,2018,1,1,1,4,0,1,1.0,0,-2.5600188034042786,1.766224577752142,-1.2311117371692681,3.0
2018-01-05,2018,1,4,1,4,0,1,1.0,0,-2.5600188034042786,1.766224577752142,-1.071817918796501,4.0
2018-01-05,2018,1,5,1,4,0,1,1.0,0,-2.663584959913345,2.013584464457795,-1.071817918796501,33.0
2018-01-05,2018,1,6,1,4,0,1,1.0,0,-2.663584959913345,1.5188646910464887,-1.071817918796501,68.0
2018-01-05,2018,1,7,1,4,0,1,1.0,0,-2.663584959913345,-0.5836943459515638,-1.071817918796501,172.0
2018-01-05,2018,1,8,1,4,0,1,1.0,0,-2.456452646895212,1.766224577752142,-1.4435034949996244,387.0
2018-01-05,2018,1,9,1,4,0,1,1.0,0,-2.456452646895212,2.1372644078106218,-1.4435034949996244,185.0
2018-01-05,2018,1,10,1,4,0,1,1.0,0,-2.352886490386146,2.8793440679275815,-1.5496993739148024,102.0
2018-01-05,2018,1,11,1,4,0,1,1.0,0,-2.2493203338770797,2.384624294516275,-1.5496993739148024,94.0
2018-01-05,2018,1,12,1,4,0,1,1.0,0,-2.2493203338770797,1.2715048043408355,-1.3904055555420354,134.0
2018-01-05,2018,1,13,1,4,0,1,1.0,0,-2.1457541773680133,1.766224577752142,-1.8151890712027476,111.0
2018-01-05,2018,1,14,1,4,0,1,1.0,0,-2.2493203338770797,2.1372644078106218,-1.7089931922875696,107.0
2018-01-05,2018,1,15,1,4,0,1,1.0,0,-2.2493203338770797,2.6319841812219282,-1.8682870106603369,149.0
2018-01-05,2018,1,16,1,4,0,1,1.0,0,-2.352886490386146,1.2715048043408355,-1.7089931922875696,235.0
2018-01-05,2018,1,17,1,4,0,1,1.0,0,-2.352886490386146,0.6531050875767024,-1.7089931922875696,365.0
2018-01-05,2018,1,18,1,4,0,1,1.0,0,-2.352886490386146,0.776785030929529,-1.7089931922875696,248.0
2018-01-05,2018,1,19,1,4,0,1,1.0,0,-2.456452646895212,-0.08897457254025733,-1.6027973133723914,128.0
2018-01-05,2018,1,20,1,4,0,1,1.0,0,-2.456452646895212,0.40574520087104915,-1.4435034949996244,65.0
2018-01-05,2018,1,21,1,4,0,1,1.0,0,-2.456452646895212,0.776785030929529,-1.4435034949996244,49.0
2018-01-05,2018,1,22,1,4,0,1,1.0,0,-2.456452646895212,0.15838531416539592,-1.4435034949996244,38.0
2018-01-05,2018,1,23,1,4,0,1,1.0,0,-2.456452646895212,0.40574520087104915,-1.4435034949996244,23.0
2018-01-06,2018,1,0,1,5,0,0,1.0,0,-2.456452646895212,0.40574520087104915,-1.4435034949996244,16.0
2018-01-06,2018,1,1,1,5,0,0,1.0,0,-2.5600188034042786,-0.08897457254025733,-1.071817918796501,12.0
2018-01-06,2018,1,2,1,5,0,0,1.0,0,-2.5600188034042786,0.6531050875767024,-1.071817918796501,5.0
